state,DEM,GOP,pollster,population,sample_size,start_date,end_date
US,49,46,CNN/Opinion Research,rv,895,5/29/2012,5/31/2012
US,54,43,CNN/Opinion Research,rv,964,4/29/2011,5/1/2011
US,52,43,CNN/Opinion Research,rv,910,4/13/2012,4/15/2012
US,53,45,CNN/Opinion Research,rv,907,4/9/2010,4/11/2010
US,52,45,CNN/Opinion Research,rv,928,12/16/2011,12/18/2011
US,49,49,CNN/Opinion Research,lv,693,11/2/2012,11/4/2012
US,47,51,CNN/Opinion Research,rv,925,11/11/2011,11/13/2011
OH,50,47,CNN/Opinion Research,lv,796,10/30/2012,11/1/2012
OH,50,46,CNN/Opinion Research,lv,741,10/23/2012,10/25/2012
US,52,45,CNN/Opinion Research,rv,911,8/7/2012,8/8/2012
US,49,47,CNN/Opinion Research,lv,719,8/22/2012,8/23/2012
WI,49,45,CNN/Opinion Research,rv,920,8/13/2012,8/14/2012
US,54,43,CNN/Opinion Research,rv,925,3/24/2012,3/25/2012
FL,48,49,CNN/Opinion Research,lv,681,10/17/2012,10/18/2012
US,47,48,CNN/Opinion Research,rv,928,1/11/2012,1/12/2012
FL,50,46,CNN/Time,lv,776,8/22/2012,8/26/2012
NC,47,48,CNN/Time,lv,766,8/22/2012,8/26/2012
VA,43,46,CNU/Times-Dispatch,rv,1018,2/4/2012,2/13/2012
VA,42,46,CNU/Times-Dispatch,rv,1027,10/3/2011,10/8/2011
OH,51,42,Columbus Dispatch,lv,1662,9/19/2012,9/29/2012
OH,45,45,Columbus Dispatch,lv,1758,8/15/2012,8/25/2012
OH,50,48,Columbus Dispatch,lv,1501,10/24/2012,11/3/2012
KY,39,53,Courier-Journal/SurveyUSA,lv,606,9/11/2012,9/13/2012
ME,49,35,Critical Insights,rv,615,6/20/2012,6/25/2012
ME,50,42,Critical Insights,rv,600,5/2/2012,5/7/2012
ME,41,40,Critical Insights,lv,600,10/18/2011,10/23/2011
ME,52,36,Critical Insights,lv,618,9/12/2012,9/16/2012
ME,49,42,Critical Insights,lv,613,10/30/2012,10/31/2012
WI,50,44,Daily Kos/PPP,lv,1136,4/13/2012,4/15/2012
NH,42,44,Dartmouth,rv,403,4/2/2012,4/5/2012
NH,39,47,Dartmouth,rv,426,4/11/2011,4/14/2011
US,50,45,Democracy Corps,lv,1000,9/8/2012,9/12/2012
US,49,47,Democracy Corps,lv,1000,8/23/2012,8/27/2012
US,48,46,Democracy Corps,lv,1000,8/6/2011,8/10/2011
US,50,46,Democracy Corps,lv,700,7/21/2012,7/25/2012
US,49,46,Democracy Corps,lv,1000,6/23/2012,6/27/2012
US,48,44,Democracy Corps,lv,1000,5/21/2011,5/25/2011
US,47,45,Democracy Corps,rv,1000,6/18/2011,6/21/2011
US,47,47,Democracy Corps,lv,1000,4/28/2012,5/1/2012
US,49,45,Democracy Corps,lv,1000,2/11/2012,2/14/2012
US,45,45,Democracy Corps,lv,1000,10/15/2011,10/18/2011
US,48,46,Democracy Corps,lv,1000,1/9/2011,1/12/2011
US,47,46,Democracy Corps,lv,1000,1/8/2012,1/11/2012
US,46,48,Democracy Corps,lv,1000,4/10/2011,4/12/2011
CO,47,46,Denver Post/SurveyUSA,lv,615,9/9/2012,9/12/2012
CO,47,45,Denver Post/SurveyUSA,lv,695,10/28/2012,10/31/2012
CO,47,48,Denver Post/SurveyUSA,lv,614,10/9/2012,10/10/2012
IA,49,45,Des Moines Register,lv,650,9/23/2012,9/26/2012
IA,44,46,Des Moines Register,lv,611,2/12/2012,2/15/2012
IA,47,42,Des Moines Register,lv,800,10/30/2012,11/2/2012
UT,27,67,Deseret News,a,254,4/27/2012,4/27/2012
UT,26,68,Deseret News/KSL,rv,1222,6/15/2012,6/21/2012
MI,52,38,Detroit News,lv,600,9/15/2012,9/17/2012
MI,48,42,Detroit News,lv,600,8/18/2012,8/20/2012
MI,49,42,Detroit News,lv,600,10/6/2012,10/8/2012
MI,48,45,Detroit News,lv,600,10/27/2012,10/29/2012
NC,43,47,Elon Univ./Charlotte Observer,lv,1089,8/25/2012,8/30/2012
NC,45,45,Elon University,lv,1238,10/21/2012,10/26/2012
WA,53,36,Elway Poll,rv,405,9/9/2012,9/12/2012
WA,49,41,Elway Poll,rv,408,6/13/2012,6/16/2012
WA,49,38,Elway Poll,rv,405,2/7/2012,2/9/2012
MI,48,42,EPIC-MRA,lv,600,7/24/2012,7/31/2012
MI,41,46,EPIC-MRA,lv,600,2/12/2011,2/17/2011
MI,48,40,EPIC-MRA,lv,600,1/21/2012,1/25/2012
MI,47,37,EPIC-MRA,lv,600,9/8/2012,9/11/2012
MI,45,46,EPIC-MRA,lv,600,6/2/2012,6/5/2012
MI,47,43,EPIC-MRA,lv,600,3/31/2012,4/3/2012
MI,41,46,EPIC-MRA,lv,600,11/13/2011,11/16/2011
MI,48,42,EPIC-MRA,lv,600,10/26/2012,10/29/2012
MI,42,46,EPIC-MRA,lv,600,7/9/2011,7/11/2011
MI,48,45,EPIC-MRA,lv,600,10/4/2012,10/6/2012
MI,49,46,EPIC-MRA,lv,1200,8/28/2012,8/28/2012
MI,52,46,EPIC-MRA,lv,800,10/17/2012,10/17/2012
US,50,46,Esquire/Yahoo! News,lv,724,9/7/2012,9/10/2012
NJ,52,38,Fairleigh Dickinson,lv,706,9/6/2012,9/12/2012
NJ,49,36,Fairleigh Dickinson,rv,849,7/23/2012,7/29/2012
NJ,50,37,Fairleigh Dickinson,rv,800,3/5/2012,3/11/2012
CA,55,35,Field,rv,1003,2/2/2012,2/18/2012
CA,50,40,Field,rv,1000,11/15/2011,11/27/2011
CA,58,34,Field,lv,891,9/6/2012,9/17/2012
CA,51,38,Field,rv,1001,9/1/2011,9/12/2011
CA,55,37,Field,lv,848,6/21/2012,7/2/2012
CA,48,32,Field,rv,710,5/21/2012,5/29/2012
CA,53,38,Field,lv,815,10/17/2012,10/24/2012
CA,54,39,Field,lv,751,10/25/2012,10/30/2012
FL,49,46,Florida Times-Union/InAdv,lv,540,9/24/2012,9/24/2012
FL,47,52,Florida Times-Union/InAdv,lv,437,11/4/2012,11/4/2012
ND,32,57,Forum/Essman,lv,500,10/12/2012,10/15/2012
IL,50,35,FOX Chicago/WAA,rv,1815,9/28/2011,9/28/2011
US,47,42,FOX News,rv,1110,2/6/2012,2/9/2012
US,45,42,FOX News,rv,925,9/25/2011,9/27/2011
US,48,43,FOX News,lv,1092,9/24/2012,9/26/2012
FL,49,44,FOX News,lv,829,9/16/2012,9/18/2012
OH,49,42,FOX News,lv,1009,9/16/2012,9/18/2012
VA,50,43,FOX News,lv,1006,9/16/2012,9/18/2012
US,48,43,FOX News,lv,1056,9/9/2012,9/11/2012
US,49,40,FOX News,rv,930,8/5/2012,8/7/2012
US,44,45,FOX News,lv,1007,8/19/2012,8/21/2012
US,47,41,FOX News,rv,904,7/17/2011,7/19/2011
US,45,41,FOX News,rv,901,7/15/2012,7/17/2012
US,48,41,FOX News,rv,912,6/5/2011,6/7/2011
US,43,43,FOX News,rv,907,6/3/2012,6/5/2012
US,45,40,FOX News,rv,912,6/24/2012,6/26/2012
US,46,39,FOX News,rv,913,5/13/2012,5/15/2012
US,46,46,FOX News,rv,915,4/22/2012,4/24/2012
FL,45,43,FOX News,rv,757,4/15/2012,4/17/2012
OH,45,39,FOX News,rv,606,4/15/2012,4/17/2012
US,44,46,FOX News,rv,910,4/9/2012,4/11/2012
US,46,42,FOX News,rv,912,3/10/2012,3/12/2012
US,48,41,FOX News,rv,911,2/7/2011,2/9/2011
OH,38,44,FOX News,rv,505,2/11/2012,2/13/2012
US,44,42,FOX News,rv,911,12/5/2011,12/7/2011
US,42,44,FOX News,rv,914,11/13/2011,11/15/2011
US,45,46,FOX News,lv,1109,10/7/2012,10/9/2012
US,46,46,FOX News,lv,1128,10/28/2012,10/30/2012
US,47,35,FOX News,rv,900,1/12/2010,1/14/2010
US,46,45,FOX News,rv,906,1/12/2012,1/14/2012
US,41,40,FOX News,rv,900,9/28/2010,9/29/2010
VA,45,47,FOX News,lv,1126,10/23/2012,10/24/2012
FL,45,48,FOX News,lv,1130,10/17/2012,10/18/2012
OH,46,43,FOX News,lv,1131,10/17/2012,10/18/2012
PA,36,30,Franklin & Marshall,rv,407,8/22/2011,8/29/2011
PA,48,36,Franklin & Marshall,rv,412,5/29/2012,6/4/2012
PA,41,33,Franklin & Marshall,rv,592,2/14/2012,2/20/2012
PA,35,26,Franklin & Marshall,rv,419,10/24/2011,10/30/2011
PA,52,43,Franklin & Marshall,lv,392,9/18/2012,9/23/2012
PA,47,42,Franklin & Marshall,rv,681,8/7/2012,8/12/2012
PA,49,45,Franklin & Marshall,lv,547,10/23/2012,10/28/2012
US,47,45,Gallup,rv,3050,7/1/2012,7/8/2012
US,47,45,Gallup,rv,3050,7/24/2012,7/31/2012
US,46,46,Gallup,rv,3050,8/6/2012,8/12/2012
US,47,45,Gallup,rv,3050,7/8/2012,7/14/2012
US,46,45,Gallup,rv,3050,6/2/2012,6/8/2012
US,45,47,Gallup,rv,3050,6/14/2012,6/20/2012
US,44,47,Gallup,rv,3000,5/3/2012,5/9/2012
US,45,46,Gallup,rv,3050,5/11/2012,5/17/2012
US,47,46,Gallup,rv,2200,4/23/2012,4/28/2012
US,43,48,Gallup,rv,2200,4/12/2012,4/16/2012
US,49,50,Gallup,lv,2700,11/1/2012,11/4/2012
US,46,48,Gallup,rv,879,8/17/2011,8/18/2011
US,47,46,Gallup,rv,3050,9/11/2012,9/17/2012
US,50,43,Gallup,rv,3050,9/5/2012,9/11/2012
US,46,47,Gallup,rv,3050,8/21/2012,8/27/2012
US,49,45,Gallup,rv,3050,9/27/2012,10/3/2012
US,47,48,Gallup,lv,2700,10/4/2012,10/10/2012
US,48,46,Gallup,rv,3050,10/4/2012,10/10/2012
MI,45,40,Glengariff Group,lv,600,5/10/2012,5/11/2012
MD,55,36,Gonzales Research,lv,813,9/17/2012,9/23/2012
CO,48,46,Gravis Marketing,lv,2089,10/5/2012,10/11/2012
OH,45,46,Gravis Marketing,lv,1313,10/6/2012,10/10/2012
MI,46,44,Gravis Marketing,lv,1122,10/5/2012,10/8/2012
NC,41,50,Gravis Marketing,lv,1325,10/6/2012,10/8/2012
VA,44,49,Gravis Marketing,lv,2238,9/8/2012,9/9/2012
OH,47,43,Gravis Marketing,lv,1548,9/7/2012,9/8/2012
FL,49,48,Gravis Marketing,lv,914,9/29/2012,9/30/2012
CO,50,46,Gravis Marketing,lv,765,9/21/2012,9/22/2012
MI,50,46,Gravis Marketing,lv,804,9/21/2012,9/22/2012
OH,45,44,Gravis Marketing,lv,594,9/21/2012,9/22/2012
WA,56,39,Gravis Marketing,lv,625,9/21/2012,9/22/2012
FL,47,48,Gravis Marketing,lv,1728,9/15/2012,9/16/2012
FL,49,49,Gravis Marketing,lv,1060,11/4/2012,11/5/2012
OH,49,48,Gravis Marketing,lv,1316,11/4/2012,11/5/2012
CO,46,49,Gravis Marketing,lv,1438,10/3/2012,10/4/2012
OH,47,47,Gravis Marketing,lv,1943,10/18/2012,10/19/2012
FL,48,49,Gravis Marketing,lv,617,10/13/2012,10/14/2012
FL,47,48,Gravis Marketing,lv,1288,9/2/2012,9/2/2012
OH,44,47,Gravis Marketing,rv,1381,9/2/2012,9/2/2012
CO,45,46,Gravis Marketing,lv,607,8/9/2012,8/9/2012
OH,45,44,Gravis Marketing,rv,1397,8/27/2012,8/27/2012
FL,46,50,Gravis Marketing,lv,728,8/20/2012,8/20/2012
NC,46,50,Gravis Marketing,lv,1130,11/4/2012,11/4/2012
PA,49,46,Gravis Marketing,lv,1060,11/4/2012,11/4/2012
IA,49,45,Gravis Marketing,lv,594,11/1/2012,11/1/2012
NH,50,49,Gravis Marketing,lv,497,11/1/2012,11/1/2012
FL,47,50,Gravis Marketing,lv,549,10/30/2012,10/30/2012
NV,49,48,Gravis Marketing,lv,1006,10/3/2012,10/3/2012
OH,50,49,Gravis Marketing,lv,730,10/27/2012,10/27/2012
VA,48,48,Gravis Marketing,lv,645,10/26/2012,10/26/2012
FL,49,50,Gravis Marketing,lv,1182,10/24/2012,10/24/2012
IA,50,46,Gravis Marketing,lv,517,10/24/2012,10/24/2012
NC,45,53,Gravis Marketing,lv,1723,10/24/2012,10/24/2012
NV,50,49,Gravis Marketing,lv,955,10/24/2012,10/24/2012
PA,48,45,Gravis Marketing,lv,887,10/21/2012,10/21/2012
MO,39,48,Gravis Marketing,lv,1959,9/16/2012,9/17/2012
US,46,43,Hartford Courant/UConn,lv,1186,9/11/2012,9/18/2012
CT,53,32,Hartford Courant/UConn,lv,508,9/11/2012,9/16/2012
US,48,45,Hartford Courant/UConn,lv,1023,10/11/2012,10/16/2012
CT,51,37,Hartford Courant/UConn,lv,574,10/11/2012,10/16/2012
NC,48,44,High Point,rv,448,9/8/2012,9/18/2012
NC,43,43,High Point/SurveyUSA,rv,540,8/18/2012,8/23/2012
NC,43,46,High Point/SurveyUSA,rv,543,8/26/2012,8/30/2012
AZ,42,46,HighGround/Moore,lv,500,9/25/2012,9/26/2012
OR,47,42,Hoffman Research,lv,615,10/24/2012,10/25/2012
HI,62,30,Honolulu Civil Beat/MRG,lv,1648,9/26/2012,9/28/2012
HI,61,34,Honolulu Civil Beat/MRG,lv,1218,10/24/2012,10/26/2012
IN,40,52,Howey/DePauw,lv,800,9/19/2012,9/23/2012
IN,41,51,Howey/DePauw,lv,800,10/28/2012,10/30/2012
IN,40,49,Howey/DePauw,lv,503,3/26/2012,3/27/2012
US,46,39,IBD/CSM/TIPP,rv,828,8/3/2012,8/10/2012
US,46,42,IBD/CSM/TIPP,rv,841,6/1/2012,6/8/2012
US,46,43,IBD/CSM/TIPP,rv,856,4/27/2012,5/4/2012
US,43,40,IBD/CSM/TIPP,rv,778,5/9/2012,5/16/2012
US,46,41,IBD/CSM/TIPP,rv,807,3/4/2012,3/11/2012
US,46,38,IBD/CSM/TIPP,rv,816,3/30/2012,4/5/2012
US,47,41,IBD/CSM/TIPP,rv,852,1/29/2012,2/4/2012
US,46,44,IBD/CSM/TIPP,rv,808,9/4/2012,9/9/2012
US,45,44,IBD/TIPP,lv,930,10/22/2012,10/27/2012
US,50,49,IBD/TIPP,lv,712,11/3/2012,11/5/2012
MI,44,44,Inside MI Politcs/MRG,lv,600,9/14/2011,9/19/2011
GA,35,56,InsiderAdvantage,lv,483,9/18/2012,9/18/2012
GA,41,50,InsiderAdvantage,lv,591,7/24/2012,7/24/2012
GA,40,52,InsiderAdvantage,lv,438,5/22/2012,5/22/2012
GA,42,54,InsiderAdvantage,lv,426,11/1/2012,11/1/2012
MN,45,39,KSTP/SurveyUSA,rv,543,11/2/2011,11/6/2011
MN,50,40,KSTP/SurveyUSA,lv,551,9/6/2012,9/9/2012
MN,46,40,KSTP/SurveyUSA,lv,552,7/17/2012,7/19/2012
MN,49,36,KSTP/SurveyUSA,rv,542,1/31/2012,2/2/2012
MN,52,41,KSTP/SurveyUSA,lv,556,11/1/2012,11/3/2012
MN,50,43,KSTP/SurveyUSA,lv,574,10/26/2012,10/28/2012
MN,50,40,KSTP/SurveyUSA,lv,550,10/12/2012,10/14/2012
MN,52,38,KSTP/SurveyUSA,rv,516,5/9/2012,5/10/2012
CA,54,35,LA Times/USC,rv,1408,8/17/2011,8/28/2011
CA,52,35,LA Times/USC,rv,1500,10/30/2011,11/9/2011
US,48,46,LA Times/USC,lv,954,8/13/2012,8/19/2012
CA,54,40,LA Times/USC,lv,1440,10/15/2012,10/21/2012
CA,57,36,LA Times/USC,rv,1500,3/14/2012,3/19/2012
CA,56,37,LA Times/USC,rv,1002,5/17/2012,5/21/2012
GA,40,51,Landmark/Rosetta Stone,rv,600,5/10/2012,5/10/2012
NV,46,40,Las Vegas Review-Journal,rv,600,12/12/2011,12/20/2011
MI,44,41,LE&A/Denno Research,lv,600,10/9/2012,10/10/2012
NV,50,46,LVRJ/SurveyUSA,lv,1212,10/23/2012,10/29/2012
NV,47,45,LVRJ/SurveyUSA,lv,869,8/16/2012,8/21/2012
NV,47,46,LVRJ/SurveyUSA,lv,1222,10/3/2012,10/8/2012
NV,48,45,LVRJ/SurveyUSA,lv,806,10/11/2012,10/15/2012
AZ,43,52,Magellan,lv,909,4/30/2012,5/2/2012
PA,50,40,Magellan,lv,702,9/12/2011,9/14/2011
FL,39,49,Magellan,lv,723,8/16/2011,8/18/2011
LA,36,59,Magellan,lv,2682,10/2/2012,10/4/2012
NC,45,43,Magellan,lv,923,9/7/2011,9/8/2011
NH,48,44,Magellan,lv,789,2/9/2011,2/10/2011
NY,61,35,Marist,lv,565,10/18/2012,10/21/2012
NY,57,35,Marist,rv,632,4/10/2012,4/12/2012
NY,59,35,Marist,rv,855,10/25/2011,10/27/2011
NY,58,35,Marist,rv,296,1/18/2012,1/19/2012
WI,53,42,Marquette University,lv,894,9/27/2012,9/30/2012
WI,54,40,Marquette University,lv,601,9/13/2012,9/16/2012
WI,50,45,Marquette University,lv,1188,8/2/2012,8/5/2012
WI,49,46,Marquette University,lv,576,8/16/2012,8/19/2012
WI,51,43,Marquette University,lv,810,7/5/2012,7/8/2012
WI,49,43,Marquette University,lv,594,6/13/2012,6/16/2012
WI,51,43,Marquette University,lv,600,5/23/2012,5/26/2012
WI,46,46,Marquette University,lv,600,5/9/2012,5/12/2012
WI,51,42,Marquette University,rv,705,4/26/2012,4/29/2012
WI,48,43,Marquette University,rv,707,3/22/2012,3/25/2012
WI,53,38,Marquette University,rv,716,2/16/2012,2/19/2012
WI,51,43,Marquette University,lv,1243,10/25/2012,10/28/2012
WI,49,48,Marquette University,lv,870,10/11/2012,10/14/2012
WI,48,40,Marquette University,rv,701,1/19/2012,1/22/2012
FL,43,51,Mason-Dixon,rv,625,8/18/2011,8/22/2011
US,44,47,Mason-Dixon,lv,1000,5/10/2012,5/14/2012
NH,41,52,Mason-Dixon,lv,600,10/2/2011,10/6/2011
FL,43,48,Mason-Dixon,rv,800,4/4/2011,4/7/2011
MT,42,51,Mason-Dixon,lv,625,9/17/2012,9/19/2012
IA,44,47,Mason-Dixon,lv,629,7/5/2011,7/7/2011
ND,39,52,Mason-Dixon,lv,625,6/4/2012,6/6/2012
UT,22,73,Mason-Dixon,rv,400,4/26/2012,4/28/2012
GA,38,55,Mason-Dixon,rv,625,12/12/2011,12/14/2011
ND,40,54,Mason-Dixon,lv,625,10/3/2012,10/5/2012
