state,GOP,DEM,pollster,population,sample_size,start_date,end_date
US,43,46,IBD/TIPP,rv,883,7/19/2004,7/24/2004
US,47,45,NBC/WSJ,rv,813,7/19/2004,7/21/2004
US,43,44,Fox News,lv,767,7/20/2004,7/21/2004
US,44,45,Fox News,lv,767,7/20/2004,7/21/2004
US,43,46,Time/SRBI,rv,1000,7/20/2004,7/22/2004
US,44,48,Time/SRBI,lv,882,7/20/2004,7/22/2004
US,48,46,ABC/Wash Post,rv,909,7/22/2004,7/25/2004
US,49,48,ABC/Wash Post,rv,909,7/22/2004,7/25/2004
US,43,48,Zogby,lv,1001,7/26/2004,7/29/2004
US,42,49,Newsweek,rv,1010,7/29/2004,7/30/2004
US,44,52,Newsweek,rv,1010,7/29/2004,7/30/2004
US,45,49,ARG,rv,776,7/30/2004,8/1/2004
US,46,49,ARG,rv,776,7/30/2004,8/1/2004
US,47,47,Marist,lv,573,7/30/2004,8/2/2004
US,43,49,CBS News,rv,991,7/31/2004,8/1/2004
US,43,48,CBS News,rv,991,7/31/2004,8/1/2004
US,44,49,Dem Corps,lv,1013,8/2/2004,8/5/2004
US,45,52,Dem Corps,lv,1013,8/2/2004,8/5/2004
US,42,45,IBD/TIPP,rv,841,8/2/2004,8/5/2004
US,43,49,IBD/TIPP,rv,841,8/2/2004,8/5/2004
US,45,48,AP/Ipsos,rv,798,8/3/2004,8/5/2004
US,43,48,Fox News,lv,775,8/3/2004,8/4/2004
US,43,47,Fox News,lv,775,8/3/2004,8/4/2004
US,43,48,Time/SRBI,lv,758,8/3/2004,8/5/2004
US,45,47,Pew Research,rv,1166,8/5/2004,8/10/2004
US,48,46,Gallup,lv,729,8/9/2004,8/11/2004
US,50,47,Gallup,lv,729,8/9/2004,8/11/2004
US,47,47,Harris,lv,1012,8/10/2004,8/15/2004
US,43,50,Zogby,lv,1011,8/12/2004,8/14/2004
US,43,47,Zogby,lv,1011,8/12/2004,8/14/2004
US,43,44,Battleground Poll,lv,1000,8/15/2004,8/17/2004
US,47,49,Battleground Poll,lv,1000,8/15/2004,8/17/2004
US,44,47,CBS News,rv,835,8/15/2004,8/18/2004
US,45,46,CBS News,rv,835,8/15/2004,8/18/2004
US,43,43,IBD/TIPP,rv,884,8/17/2004,8/23/2004
US,44,44,IBD/TIPP,rv,884,8/17/2004,8/23/2004
US,47,44,LA Times,rv,1352,8/21/2004,8/24/2004
US,49,46,LA Times,rv,1352,8/21/2004,8/24/2004
US,43,47,NPR - POS/GQR,lv,800,8/21/2004,8/24/2004
US,45,50,NPR - POS/GQR,lv,800,8/21/2004,8/24/2004
US,48,46,CNN/USAT/Gallup,lv,709,8/23/2004,8/25/2004
US,50,47,CNN/USAT/Gallup,lv,709,8/23/2004,8/25/2004
US,47,45,NBC/WSJ,rv,806,8/23/2004,8/25/2004
US,47,46,Rasmussen,lv,1500,8/23/2004,8/25/2004
US,43,44,Fox News,lv,1000,8/24/2004,8/25/2004
US,44,45,Fox News,lv,1000,8/24/2004,8/25/2004
US,46,46,Time,lv,835,8/24/2004,8/26/2004
US,46,44,Time,lv,835,8/24/2004,8/26/2004
US,48,48,ABC/Wash Post,lv,775,8/26/2004,8/29/2004
US,49,49,ABC/Wash Post,lv,775,8/26/2004,8/29/2004
US,47,47,ARG,lv,800,8/30/2004,9/1/2004
US,48,47,ARG,lv,800,8/30/2004,9/1/2004
US,46,44,Zogby,lv,1001,8/30/2004,9/2/2004
US,46,43,Zogby,lv,1001,8/30/2004,9/2/2004
US,51,41,Time,lv,926,8/31/2004,9/2/2004
US,52,41,Time,lv,926,8/31/2004,9/2/2004
US,52,41,Newsweek,rv,1008,9/2/2004,9/3/2004
US,54,43,Newsweek,rv,1008,9/2/2004,9/3/2004
US,52,45,CNN/USAT/Gallup,lv,778,9/3/2004,9/5/2004
US,52,45,CNN/USAT/Gallup,lv,778,9/3/2004,9/5/2004
US,49,42,CBS News,rv,909,9/6/2004,9/8/2004
US,50,42,CBS News,rv,909,9/6/2004,9/8/2004
US,51,46,AP/Ipsos,lv,899,9/7/2004,9/9/2004
US,47,45,FOX/Opin. Dyn.,lv,1000,9/7/2004,9/8/2004
US,47,43,FOX/Opin. Dyn.,lv,1000,9/7/2004,9/8/2004
US,46,46,IBD/TIPP,lv,674,9/7/2004,9/12/2004
US,47,47,IBD/TIPP,lv,674,9/7/2004,9/12/2004
US,52,41,Time,lv,857,9/7/2004,9/9/2004
US,54,42,Time,lv,857,9/7/2004,9/9/2004
US,54,38,Pew Research,lv,745,9/8/2004,9/10/2004
US,46,42,Zogby,lv,1018,9/8/2004,9/9/2004
US,47,45,Zogby,lv,1018,9/8/2004,9/9/2004
US,47,48,Harris,lv,867,9/9/2004,9/13/2004
US,49,43,Newsweek,rv,1003,9/9/2004,9/10/2004
US,50,45,Newsweek,rv,1003,9/9/2004,9/10/2004
US,47,46,Pew Research,lv,725,9/11/2004,9/14/2004
US,49,45,Battleground Poll,lv,1000,9/12/2004,9/15/2004
US,49,45,Battleground Poll,lv,1000,9/12/2004,9/15/2004
US,50,42,CBS News,rv,1088,9/12/2004,9/16/2004
US,50,41,CBS News,rv,1048,9/12/2004,9/16/2004
US,54,40,CNN/USAT/Gallup,lv,767,9/13/2004,9/15/2004
US,55,42,CNN/USAT/Gallup,lv,767,9/13/2004,9/15/2004
US,45,42,IBD/TIPP,lv,650,9/14/2004,9/18/2004
US,46,43,IBD/TIPP,lv,650,9/14/2004,9/18/2004
US,50,46,NBC/WSJ,lv,787,9/17/2004,9/19/2004
US,45,42,Pew Research,rv,989,9/17/2004,9/21/2004
US,46,43,Zogby,lv,1066,9/17/2004,9/19/2004
US,47,44,Zogby,lv,1066,9/17/2004,9/19/2004
US,52,45,AP/Ipsos,lv,931,9/20/2004,9/22/2004
US,50,45,Battleground Poll,lv,1000,9/20/2004,9/23/2004
US,50,45,Battleground Poll,lv,1000,9/20/2004,9/23/2004
US,50,41,CBS News,lv,931,9/20/2004,9/22/2004
US,51,42,CBS News,lv,931,9/20/2004,9/22/2004
US,50,44,Marist,lv,630,9/20/2004,9/22/2004
US,45,43,Fox News,lv,1000,9/21/2004,9/22/2004
US,46,42,Fox News,lv,1000,9/21/2004,9/22/2004
US,48,42,Time,lv,877,9/21/2004,9/23/2004
US,49,43,Time,lv,877,9/21/2004,9/23/2004
US,45,46,IBD/TIPP,lv,649,9/22/2004,9/27/2004
US,45,45,IBD/TIPP,lv,649,9/22/2004,9/27/2004
US,48,40,Pew Research,rv,948,9/22/2004,9/26/2004
US,51,45,ABC/Wash Post,lv,810,9/23/2004,9/26/2004
US,52,44,CNN/USAT/Gallup,lv,758,9/24/2004,9/26/2004
US,52,44,CNN/USAT/Gallup,lv,758,9/24/2004,9/26/2004
US,51,46,LA Times,lv,1100,9/25/2004,9/28/2004
US,51,45,LA Times,lv,1100,9/25/2004,9/28/2004
US,51,44,Battleground Poll,lv,1000,9/27/2004,9/30/2004
US,51,44,Battleground Poll,lv,1000,9/27/2004,9/30/2004
US,48,43,SHU Poll Inst.,lv,1003,9/27/2004,10/2/2004
US,45,47,Newsweek,rv,1013,9/30/2004,10/2/2004
US,46,49,Newsweek,rv,1013,9/30/2004,10/2/2004
US,51,46,ABC/Wash Post,lv,1169,10/1/2004,10/3/2004
US,47,47,CBS/NYT,lv,561,10/1/2004,10/3/2004
US,48,47,CBS/NYT,lv,561,10/1/2004,10/3/2004
US,49,49,CNN/USAT/Gallup,lv,772,10/1/2004,10/3/2004
US,49,49,CNN/USAT/Gallup,lv,772,10/1/2004,10/3/2004
US,51,46,ICR,lv,762,10/1/2004,10/5/2004
US,51,45,ICR,lv,762,10/1/2004,10/5/2004
US,49,44,Pew Research,lv,801,10/1/2004,10/3/2004
US,46,45,Zogby,lv,1036,10/1/2004,10/3/2004
US,46,43,Zogby,lv,1036,10/1/2004,10/3/2004
US,46,47,ARG,lv,800,10/2/2004,10/4/2004
US,46,46,ARG,lv,800,10/2/2004,10/4/2004
US,47,45,Fox News,lv,1000,10/3/2004,10/4/2004
US,48,45,Fox News,lv,1000,10/3/2004,10/4/2004
US,49,46,GW/Battleground,lv,1250,10/3/2004,10/7/2004
US,49,46,GW/Battleground,lv,1250,10/3/2004,10/7/2004
US,46,50,AP/Ipsos,lv,944,10/4/2004,10/6/2004
US,49,46,Marist,lv,642,10/4/2004,10/5/2004
US,46,45,Time,lv,886,10/6/2004,10/7/2004
US,47,46,Time,lv,886,10/6/2004,10/7/2004
US,50,46,Rasmussen,lv,3000,10/7/2004,10/9/2004
US,47,46,CBS News,lv,760,10/9/2004,10/11/2004
US,48,45,CBS News,lv,760,10/9/2004,10/11/2004
US,48,50,CNN/USAT/Gallup,lv,793,10/9/2004,10/10/2004
US,48,49,CNN/USAT/Gallup,lv,793,10/9/2004,10/10/2004
US,48,43,ICR,lv,763,10/9/2004,10/11/2004
US,49,46,ICR,lv,763,10/9/2004,10/11/2004
US,45,45,Zogby,lv,1223,10/9/2004,10/11/2004
US,48,48,ABC/Wash Post,lv,1248,10/11/2004,10/13/2004
US,49,46,GW/Battleground,lv,1000,10/11/2004,10/14/2004
US,49,46,GW/Battleground,lv,1000,10/11/2004,10/14/2004
US,47,46,CBS News,lv,678,10/14/2004,10/17/2004
US,47,45,CBS/NYT,lv,678,10/14/2004,10/17/2004
US,52,44,CNN/USAT/Gallup,lv,788,10/14/2004,10/16/2004
US,52,44,CNN/USAT/Gallup,lv,788,10/14/2004,10/16/2004
US,49.5,44.5,Harris,lv,820,10/14/2004,10/17/2004
US,50,44,Newsweek,lv,880,10/14/2004,10/15/2004
US,48,48,Time,lv,865,10/14/2004,10/15/2004
US,48,47,Time,lv,865,10/14/2004,10/15/2004
US,47,47,Pew Research,lv,1070,10/15/2004,10/19/2004
US,51,46,ABC/Wash Post,lv,1237,10/16/2004,10/18/2004
US,48,43,Fox News,lv,1000,10/17/2004,10/18/2004
US,49,42,Fox News,lv,1000,10/17/2004,10/18/2004
US,49,48,Marist,lv,772,10/17/2004,10/19/2004
US,48,47,Rasmussen,lv,3000,10/17/2004,10/19/2004
US,46,49,AP/Ipsos,lv,976,10/18/2004,10/20/2004
US,49,45,GW/Battleground,lv,1000,10/18/2004,10/21/2004
US,49,45,GW/Battleground,lv,1000,10/18/2004,10/21/2004
US,51,46,Time,lv,803,10/19/2004,10/21/2004
US,52,47,Time,lv,803,10/19/2004,10/21/2004
US,48,48,Los Angeles Times,lv,881,10/21/2004,10/24/2004
US,49,48,Los Angeles Times,lv,881,10/21/2004,10/24/2004
US,48,47,Newsweek,lv,880,10/21/2004,10/22/2004
US,48,46,Newsweek,lv,880,10/21/2004,10/22/2004
US,51,46,CNN/USAT/Gallup,lv,1195,10/22/2004,10/24/2004
US,52,46,CNN/USAT/Gallup,lv,1195,10/22/2004,10/24/2004
US,48,45,ICR,lv,741,10/22/2004,10/26/2004
US,51,46,Battleground Poll,lv,1000,10/25/2004,10/28/2004
US,51,46,GW/Battleground,lv,1000,10/25/2004,10/28/2004
US,50,44,Newsweek,lv,882,10/27/2004,10/29/2004
US,51,45,Newsweek,lv,882,10/27/2004,10/29/2004
US,51,48,Pew Research,lv,1925,10/27/2004,10/30/2004
US,49,48,ABC/Wash Post,lv,2904,10/28/2004,10/31/2004
US,48,49,ARG,lv,1258,10/28/2004,10/30/2004
US,48,48,ARG,lv,1258,10/28/2004,10/30/2004
US,49,46,CBS/NYT,lv,643,10/28/2004,10/30/2004
US,50,47,CBS/NYT,lv,643,10/28/2004,10/30/2004
US,49,47,CBS News,lv,939,10/29/2004,11/1/2004
US,49,49,CNN/USAT/Gallup,lv,1573,10/29/2004,10/31/2004
US,49,47,CNN/USAT/Gallup,lv,1573,10/29/2004,10/31/2004
US,49,48,Harris,lv,1509,10/29/2004,11/1/2004
US,48,47,NBC/WSJ,lv,1014,10/29/2004,10/31/2004
US,48,47,Reuters/Zogby,lv,1208,10/29/2004,10/31/2004
US,46,48,Fox News,lv,1200,10/30/2004,10/31/2004
US,46,48,Fox News,lv,1200,10/30/2004,10/31/2004
US,50.2,48.5,Rasmussen,lv,3000,10/30/2004,11/1/2004
US,46.9,44.3,TIPP,lv,936,10/30/2004,11/1/2004
US,50.1,48,TIPP,lv,1041,10/30/2004,11/1/2004
US,50,46,GW/Battleground,lv,1000,10/31/2004,11/1/2004
US,50,46,GW/Battleground,lv,1000,10/31/2004,11/1/2004
US,49,50,Marist,lv,1026,11/1/2004,11/1/2004
KY,55,38,Bluegrass,lv,600,1/30/2004,2/4/2004
MI,46,51,SUSA,rv,724,1/31/2004,2/2/2004
NM,43,46,Albuquerque Jrnl,lv,872,10/1/2004,10/4/2004
NJ,41,49,FDU Public Mind,lv,500,10/1/2004,10/6/2004
MD,42,52,Gonzales Research,rv,801,10/1/2004,10/5/2004
FL,47,49,HB&S,lv,800,10/1/2004,10/4/2004
NJ,46,49,Quinnipiac,lv,819,10/1/2004,10/4/2004
FL,51,44,Quinnipiac,lv,717,10/1/2004,10/5/2004
NJ,42,50,Research 2000,lv,502,10/1/2004,10/1/2004
NJ,41,47,Star-Ledger,lv,571,10/1/2004,10/6/2004
NV,50,46,SurveyUSA,lv,625,10/1/2004,10/3/2004
AL,62,34,SurveyUSA,lv,600,10/1/2004,10/3/2004
NJ,45,50,SUSA,lv,696,10/1/2004,10/3/2004
FL,51,46,SUSA,lv,711,10/1/2004,10/3/2004
PA,43,50,WHYY/WCU,lv,600,10/1/2004,10/4/2004
OK,58,28,Wilson Research,lv,500,10/1/2004,10/3/2004
OR,44,49,ARG,lv,600,10/10/2004,10/12/2004
IA,47,47,ARG,lv,600,10/10/2004,10/12/2004
VT,40,53,Research 2000,lv,403,10/10/2004,10/12/2004
IN,53,40,Research 2000,lv,602,10/10/2004,10/12/2004
SC,55,42,SUSA,lv,563,10/10/2004,10/12/2004
FL,44,45,Univ of North Fl,lv,641,10/10/2004,10/15/2004
AR,46,45,Zogby,lv,503,10/10/2004,10/11/2004
OH,46,48,Ohio Poll,lv,757,10/11/2004,10/17/2004
MI,43,48,Research 2000,lv,600,10/11/2004,10/13/2004
OR,44,50,Research 2000,lv,600,10/11/2004,10/14/2004
AL,56,32,Capital Survey,lv,546,10/12/2004,10/14/2004
WV,47,45,Global Stgy Grp,lv,600,10/12/2004,10/14/2004
OH,47,47,Rasmussen,lv,537,10/12/2004,10/18/2004
SD,52,42,Rasmussen,lv,500,10/12/2004,10/12/2004
NH,45,49,Research 2000,lv,600,10/12/2004,10/14/2004
LA,50,31,Sthrn Media,lv,600,10/12/2004,10/13/2004
MI,40,48,Strategic Vision,lv,801,10/12/2004,10/14/2004
MN,45,47,Strategic Vision,lv,801,10/12/2004,10/14/2004
FL,49,45,Strategic Vision,lv,801,10/12/2004,10/14/2004
GA,58,37,Strategic Vision,lv,801,10/12/2004,10/14/2004
NJ,41,49,FDU Public Mind,lv,503,10/13/2004,10/21/2004
HI,43.3,42.6,Honolulu Advertiser,lv,600,10/13/2004,10/18/2004
CO,47,42,Rcky Mtn News,lv,400,10/13/2004,10/14/2004
LA,50,38,UNO,lv,700,10/13/2004,10/21/2004
GA,51,41,Zogby/AJC,lv,503,10/13/2004,10/15/2004
WV,49,46,Zogby/WSJ,lv,500,10/13/2004,10/18/2004
OH,47,50,ABC News,lv,789,10/14/2004,10/17/2004
IA,45,46,Central Surveys,lv,502,10/14/2004,10/19/2004
CO,51,45,CNN/USAT/Gallup,lv,666,10/14/2004,10/17/2004
CA,40,58,LA Times,lv,925,10/14/2004,10/18/2004
FL,48,45,Mason-Dixon,lv,625,10/14/2004,10/17/2004
CO,49,43,Mason-Dixon,lv,630,10/14/2004,10/16/2004
NJ,45,49,Quinnipiac,lv,786,10/14/2004,10/17/2004
NJ,38,51,Star-Ledger,lv,663,10/14/2004,10/17/2004
NH,41,46,Suffolk Univ,lv,400,10/14/2004,10/17/2004
WI,48,47,UofM HHI,lv,623,10/14/2004,10/19/2004
CO,48,42,Ciruli Assoc,lv,600,10/15/2004,10/19/2004
OR,45,53,CNN/USAT/Gallup,lv,700,10/15/2004,10/18/2004
PA,45,46,Mason-Dixon,lv,625,10/15/2004,10/18/2004
WI,45,45,Mason-Dixon,lv,625,10/15/2004,10/18/2004
MI,46,47,Mason-Dixon,lv,625,10/15/2004,10/18/2004
OH,46,45,Mason-Dixon,lv,625,10/15/2004,10/18/2004
OR,46,47,Mason-Dixon,lv,625,10/15/2004,10/18/2004
MN,47,45,Mason-Dixon,lv,625,10/15/2004,10/18/2004
NH,48,45,Mason-Dixon,lv,625,10/15/2004,10/18/2004
IA,49,43,Mason-Dixon,lv,625,10/15/2004,10/18/2004
MO,49,44,Mason-Dixon,lv,625,10/15/2004,10/18/2004
NM,49,44,Mason-Dixon,lv,625,10/15/2004,10/18/2004
WV,49,44,Mason-Dixon,lv,625,10/15/2004,10/18/2004
NV,52,42,Mason-Dixon,lv,625,10/15/2004,10/18/2004
FL,48,47,Quinnipiac,lv,808,10/15/2004,10/19/2004
LA,47,39,Renwick,lv,600,10/15/2004,10/18/2004
NE,61,32,RKM,lv,1007,10/15/2004,10/20/2004
CA,43,53,SurveyUSA,lv,703,10/15/2004,10/17/2004
PA,45,51,SurveyUSA,lv,619,10/15/2004,10/17/2004
WA,45,52,SurveyUSA,lv,634,10/15/2004,10/17/2004
FL,49,50,SurveyUSA,lv,601,10/15/2004,10/17/2004
NC,50,47,SurveyUSA,lv,627,10/15/2004,10/17/2004
AR,51,46,SurveyUSA,lv,617,10/15/2004,10/17/2004
OK,61,31,Wilson Research,lv,500,10/15/2004,10/17/2004
NM,46,48,ARG,lv,600,10/16/2004,10/18/2004
NH,47,46,ARG,lv,600,10/16/2004,10/18/2004
WI,47,47,ARG,lv,600,10/16/2004,10/19/2004
IL,42,50,Chi Trib/WGN,lv,700,10/16/2004,10/19/2004
WI,50,44,CNN/USAT/Gallup,lv,678,10/16/2004,10/19/2004
NV,45,41,Las Vegas Sun,lv,600,10/16/2004,10/19/2004
PA,46,51,Quinnipiac,lv,841,10/16/2004,10/20/2004
CA,41,50,Strategic Vision,lv,801,10/16/2004,10/18/2004
NJ,43,44,Strategic Vision,lv,801,10/16/2004,10/18/2004
NJ,43,51,SurveyUSA,lv,703,10/16/2004,10/18/2004
OH,47,49,SurveyUSA,lv,698,10/16/2004,10/18/2004
VA,50,46,SurveyUSA,lv,664,10/16/2004,10/18/2004
MO,51,45,SurveyUSA,lv,670,10/16/2004,10/18/2004
NV,52,45,SurveyUSA,lv,585,10/16/2004,10/18/2004
OH,49,44,Fox News,lv,800,10/17/2004,10/18/2004
OH,47,48,Gallup,lv,706,10/17/2004,10/20/2004
PA,46,48,Muhlenberg,rv,787,10/17/2004,10/22/2004
NJ,41,53,Rasmussen,lv,400,10/17/2004,10/30/2004
PA,46,49,Rasmussen,lv,424,10/17/2004,10/23/2004
OH,46,50,Scripps,lv,358,10/17/2004,10/21/2004
HI,46,45,SMS Research,lv,612,10/17/2004,10/20/2004
PA,46,47,Strategic Vision,lv,801,10/17/2004,10/19/2004
WI,49,46,Strategic Vision,lv,801,10/17/2004,10/19/2004
ME,45,51,SurveyUSA,lv,660,10/17/2004,10/19/2004
AZ,54,43,SurveyUSA,lv,616,10/17/2004,10/19/2004
IN,59,37,SurveyUSA,lv,602,10/17/2004,10/19/2004
KY,59,37,SurveyUSA,lv,629,10/17/2004,10/19/2004
TN,60,38,SurveyUSA,lv,615,10/17/2004,10/19/2004
AR,48,48,AR News/Op Res,lv,500,10/18/2004,10/20/2004
AZ,47,40,Arizona Republic,lv,600,10/18/2004,10/19/2004
KY,56,39,Bluegrass,lv,690,10/18/2004,10/20/2004
MI,43,49,EPIC/MRA,lv,610,10/18/2004,10/21/2004
NH,41,50,Franklin-Pierce,lv,453,10/18/2004,10/21/2004
NC,48,40,JLF/Tel Opn Res,lv,600,10/18/2004,10/20/2004
MT,57,36,Mason-Dixon,lv,625,10/18/2004,10/20/2004
NC,51,43,Mason-Dixon,lv,625,10/18/2004,10/19/2004
ND,55,35,MSU/WDAY,lv,623,10/18/2004,10/18/2004
NH,47,49,Rasmussen,lv,500,10/18/2004,10/18/2004
CO,50,45,Rasmussen,lv,500,10/18/2004,10/18/2004
FL,47,48,Research 2000,lv,600,10/18/2004,10/21/2004
FL,49,46,Strategic Vision,lv,801,10/18/2004,10/20/2004
MI,44,51,SurveyUSA,lv,668,10/18/2004,10/20/2004
IA,51,45,SurveyUSA,lv,690,10/18/2004,10/20/2004
CO,52,45,SurveyUSA,lv,596,10/18/2004,10/20/2004
GA,57,40,SurveyUSA,lv,609,10/18/2004,10/20/2004
OK,64,34,SurveyUSA,lv,627,10/18/2004,10/20/2004
TN,53,41,Mason-Dixon,lv,625,10/19/2004,10/21/2004
SD,55,36,Mason-Dixon,lv,800,10/19/2004,10/21/2004
OR,43,49,Research 2000,lv,600,10/19/2004,10/21/2004
NV,49,47,Research 2000,lv,600,10/19/2004,10/21/2004
FL,46,46,SPT/Miami Herald,lv,800,10/19/2004,10/21/2004
FL,47,49,ARG,lv,600,10/2/2004,10/5/2004
AZ,48,38,Arizona Republic,lv,602,10/2/2004,10/4/2004
MN,43,50,Hart Research,rv,801,10/2/2004,10/4/2004
NM,45,49,Hart Research,rv,802,10/2/2004,10/4/2004
WI,47,48,Rasmussen,lv,500,10/2/2004,10/15/2004
WA,43,54,SurveyUSA,lv,640,10/2/2004,10/4/2004
CA,43,51,SurveyUSA,lv,748,10/2/2004,10/4/2004
OH,48,49,SurveyUSA,lv,761,10/2/2004,10/4/2004
MO,49,47,SurveyUSA,lv,683,10/2/2004,10/4/2004
NC,52,45,SurveyUSA,lv,628,10/2/2004,10/4/2004
OH,50,50,Columbus Dispatch,lv,2880,10/20/2004,10/29/2004
MI,46,51,Rasmussen,lv,561,10/20/2004,10/26/2004
FL,48,48,Rasmussen,lv,567,10/20/2004,10/26/2004
OH,50,46,Rasmussen,lv,537,10/20/2004,10/26/2004
VA,49,40,Times Dispatch,lv,751,10/20/2004,10/26/2004
FL,51,43,CNN/USAT/Gallup,lv,601,10/21/2004,10/24/2004
UT,69,24,Deseret News,lv,1228,10/21/2004,10/28/2004
NJ,40,47,FDU Public Mind,lv,549,10/21/2004,10/28/2004
CA,42,49,Field Poll,lv,1086,10/21/2004,10/27/2004
NJ,46,46,Quinnipiac,lv,852,10/21/2004,10/25/2004
IL,41,53,Research 2000,lv,800,10/21/2004,10/23/2004
UT,68,23,Salt Lake Trib,rv,1200,10/21/2004,10/26/2004
ME,39,50,Zogby,lv,402,10/21/2004,10/22/2004
MO,49,45,KC Star,lv,553,10/22/2004,10/26/2004
KS,59,30,KC Star,lv,573,10/22/2004,10/26/2004
OH,44,50,LA Times,lv,585,10/22/2004,10/26/2004
PA,48,48,LA Times,lv,585,10/22/2004,10/26/2004
FL,51,43,LA Times,lv,510,10/22/2004,10/26/2004
VA,50,44,Mason-Dixon,lv,625,10/22/2004,10/25/2004
PA,49,47,Quinnipiac,lv,909,10/22/2004,10/26/2004
FL,49,46,Quinnipiac,lv,944,10/22/2004,10/26/2004
MO,48,45,Research 2000,lv,800,10/22/2004,10/24/2004
IN,56,40,Research 2000,lv,600,10/22/2004,10/24/2004
OH,47,45,Strategic Vision,lv,801,10/22/2004,10/24/2004
FL,49,47,Strategic Vision,lv,801,10/22/2004,10/24/2004
WI,49,44,Strategic Vision,lv,801,10/22/2004,10/24/2004
FL,48,50,SurveyUSA,lv,749,10/22/2004,10/24/2004
NC,54,44,SurveyUSA,lv,694,10/22/2004,10/24/2004
SC,57,39,SUSA,lv,564,10/22/2004,10/24/2004
PA,47,48,Temple Univ,lv,1488,10/22/2004,10/27/2004
OK,61,28,Wilson Research,lv,500,10/22/2004,10/24/2004
FL,46,49,ARG,lv,600,10/23/2004,10/25/2004
OH,47,49,ARG,lv,600,10/23/2004,10/25/2004
PA,47,50,ARG,lv,600,10/23/2004,10/25/2004
WI,48,45,Badger Poll,lv,545,10/23/2004,10/27/2004
PA,47,50,CNN/USAT/Gallup,lv,585,10/23/2004,10/26/2004
IA,50,46,CNN/USAT/Gallup,lv,649,10/23/2004,10/26/2004
FL,47,48,Fla Poll/NYT Rgnl,lv,802,10/23/2004,10/27/2004
NV,49,47,Rasmussen,lv,500,10/23/2004,10/23/2004
CA,44,53,SurveyUSA,lv,743,10/23/2004,10/25/2004
WA,45,51,SurveyUSA,lv,618,10/23/2004,10/25/2004
PA,45,53,SurveyUSA,lv,803,10/23/2004,10/25/2004
OH,47,50,SurveyUSA,lv,831,10/23/2004,10/25/2004
AR,51,45,SurveyUSA,lv,649,10/23/2004,10/25/2004
MO,52,45,SurveyUSA,lv,680,10/23/2004,10/25/2004
PA,45,50,West Chester Univ,lv,684,10/23/2004,10/27/2004
MN,47,44,Humphrey Inst,lv,690,10/24/2004,10/27/2004
MD,41,52,Mason-Dixon,lv,625,10/24/2004,10/26/2004
WA,44,50,Strategic Vision,lv,801,10/24/2004,10/26/2004
MI,47,47,Strategic Vision,lv,801,10/24/2004,10/26/2004
MN,49,47,Strategic Vision,lv,801,10/24/2004,10/26/2004
GA,57,40,Strategic Vision,lv,801,10/24/2004,10/26/2004
OR,46,50,ARG,lv,600,10/25/2004,10/27/2004
WI,47,48,ARG,lv,601,10/25/2004,10/27/2004
IA,48,47,ARG,lv,600,10/25/2004,10/27/2004
MD,39,56,Baltimore Sun,rv,602,10/25/2004,10/26/2004
IA,45,48,DM Register,lv,806,10/25/2004,10/29/2004
NY,38,56,Marist,lv,636,10/25/2004,10/26/2004
WA,45,50,Mason-Dixon,lv,800,10/25/2004,10/26/2004
NC,52,43,Mason-Dixon,lv,625,10/25/2004,10/26/2004
