state,pollster,DEM,GOP,start_date,end_date,sample_size,population
NH,Rasmussen,53,43,10/1/2008,10/1/2008,700,lv
NM,Rasmussen,49,44,10/1/2008,10/1/2008,700,lv
AR,The Arkansas Poll,36,51,10/1/2008,10/21/2008,1441,rv
MI,Rossman Group/MIRS,44,39,10/1/2008,10/4/2008,600,rv
PA,Morning Call,52,38,10/10/2008,10/14/2008,584,lv
US,LA Times/Bloomberg,47,39,10/10/2008,10/13/2008,1030,lv
US,LA Times/Bloomberg,50,41,10/10/2008,10/13/2008,1030,lv
CO,Suffolk,47,43,10/10/2008,10/13/2008,600,lv
US,CBS News/NY Times,51,39,10/10/2008,10/13/2008,699,lv
US,CBS News/NY Times,53,39,10/10/2008,10/13/2008,699,lv
US,USA Today/Gallup,52,45,10/10/2008,10/12/2008,1030,lv
US,USA Today/Gallup,50,46,10/10/2008,10/12/2008,761,lv
DE,Rasmussen,56,41,10/10/2008,10/10/2008,500,lv
OR,Riley Research,48,34,10/10/2008,10/20/2008,499,rv
VA,CNU Virginia Poll,53,47,10/11/2008,10/14/2008,500,lv
VA,CNN/Time,53,43,10/11/2008,10/14/2008,698,lv
GA,CNN/Time,45,53,10/11/2008,10/14/2008,718,lv
CO,CNN/Time,51,47,10/11/2008,10/14/2008,762,lv
MO,CNN/Time,48,49,10/11/2008,10/14/2008,763,lv
FL,CNN/Time,51,46,10/11/2008,10/14/2008,765,lv
US,Reuters/C-SPAN/Zogby,49,43,10/11/2008,10/13/2008,1208,lv
US,Gallup,51,45,10/11/2008,10/13/2008,2140,lv
US,Gallup,53,43,10/11/2008,10/13/2008,2289,lv
US,Rasmussen,50,45,10/11/2008,10/13/2008,3000,lv
PA,SurveyUSA,55,40,10/11/2008,10/13/2008,516,lv
US,Diageo/Hotline,48,42,10/11/2008,10/13/2008,829,lv
MO,PPP,48,46,10/11/2008,10/12/2008,1009,lv
NC,PPP,49,46,10/11/2008,10/12/2008,1196,lv
MO,SurveyUSA,51,43,10/11/2008,10/12/2008,546,lv
GA,SurveyUSA,43,51,10/11/2008,10/12/2008,547,lv
NY,SurveyUSA,64,31,10/11/2008,10/12/2008,547,lv
NJ,SurveyUSA,55,40,10/11/2008,10/12/2008,551,lv
OR,SurveyUSA,57,40,10/11/2008,10/12/2008,584,lv
CA,PPIC,56,33,10/12/2008,10/19/2008,1186,lv
WA,SurveyUSA,56,40,10/12/2008,10/13/2008,544,lv
SC,SurveyUSA,41,55,10/12/2008,10/13/2008,561,lv
NM,SurveyUSA,52,45,10/12/2008,10/13/2008,568,lv
OH,SurveyUSA,50,45,10/12/2008,10/13/2008,575,lv
FL,FOX News/Rasmussen,51,46,10/12/2008,10/12/2008,1000,lv
MO,FOX News/Rasmussen,50,47,10/12/2008,10/12/2008,1000,lv
NC,FOX News/Rasmussen,48,48,10/12/2008,10/12/2008,1000,lv
OH,FOX News/Rasmussen,49,47,10/12/2008,10/12/2008,1000,lv
VA,FOX News/Rasmussen,50,47,10/12/2008,10/12/2008,1000,lv
MS,Press Register,33,46,10/13/2008,10/23/2008,405,lv
US,GWU/Battleground,49,45,10/13/2008,10/19/2008,1000,lv
ME,Pan Atlantic SMS,51,39,10/13/2008,10/16/2008,400,lv
FL,Research 2000,49,45,10/13/2008,10/15/2008,600,lv
SD,Mason-Dixon,41,48,10/13/2008,10/15/2008,800,lv
ND,North Dakota UTU,44,41,10/13/2008,10/14/2008,504,lv
MA,SurveyUSA,59,35,10/13/2008,10/14/2008,624,lv
NC,InAdv/PollPosition,48,46,10/13/2008,10/13/2008,474,lv
IL,Rasmussen,56,39,10/13/2008,10/13/2008,500,lv
KS,Rasmussen,41,54,10/13/2008,10/13/2008,500,lv
MA,Rasmussen,62,34,10/13/2008,10/13/2008,500,lv
NV,InAdv/PollPosition,49,46,10/13/2008,10/13/2008,506,lv
WV,InAdv/PollPosition,47,49,10/13/2008,10/13/2008,522,lv
FL,InAdv/PollPosition,48,44,10/13/2008,10/13/2008,612,lv
NM,Rasmussen,55,42,10/13/2008,10/13/2008,700,lv
MN,St. Cloud State U.,42,37,10/14/2008,10/22/2008,509,a
US,IBD/TIPP,47,42,10/14/2008,10/18/2008,1072,lv
WY,Research 2000,35,58,10/14/2008,10/16/2008,500,lv
AK,Research 2000,38,57,10/14/2008,10/16/2008,600,lv
KY,Research 2000,39,53,10/14/2008,10/16/2008,600,lv
GA,Research 2000,43,49,10/14/2008,10/15/2008,600,lv
ME,Research 2000,55,38,10/14/2008,10/15/2008,600,lv
ND,Research 2000,45,45,10/14/2008,10/15/2008,600,lv
MS,Research 2000,40,50,10/14/2008,10/15/2008,600,lv
NC,Research 2000,46,44,10/14/2008,10/15/2008,600,lv
OR,Research 2000,53,38,10/14/2008,10/15/2008,600,lv
TX,Research 2000,40,52,10/14/2008,10/15/2008,600,lv
CT,Rasmussen,56,39,10/14/2008,10/14/2008,500,lv
NY,Rasmussen,57,37,10/14/2008,10/14/2008,500,lv
OR,Rasmussen,54,41,10/14/2008,10/14/2008,500,lv
OH,Rasmussen,49,49,10/14/2008,10/14/2008,700,lv
US,Democracy Corps,49,44,10/15/2008,10/19/2008,1000,lv
US,Democracy Corps,50,46,10/15/2008,10/19/2008,1000,lv
NJ,Monmouth/Gannett,55,38,10/15/2008,10/18/2008,723,lv
MT,Research 2000,45,49,10/15/2008,10/16/2008,600,lv
MN,Research 2000,52,39,10/15/2008,10/16/2008,600,lv
CA,SurveyUSA,59,35,10/15/2008,10/16/2008,615,lv
MO,Rasmussen,52,46,10/15/2008,10/15/2008,700,lv
TX,University of Texas,40,51,10/15/2008,10/22/2008,550,rv
US,GWU/Battleground,49,45,10/16/2008,10/22/2008,1000,lv
OH,Quinnipiac,52,38,10/16/2008,10/21/2008,1360,lv
PA,Quinnipiac,53,40,10/16/2008,10/21/2008,1425,lv
FL,Quinnipiac,49,44,10/16/2008,10/21/2008,1433,lv
MT,Montana State U.,44,40,10/16/2008,10/20/2008,403,lv
PA,Morning Call,53,41,10/16/2008,10/20/2008,600,lv
US,Ipsos/McClatchy,50,42,10/16/2008,10/20/2008,773,lv
US,Associated Press/GfK,44,43,10/16/2008,10/20/2008,800,lv
US,Associated Press/GfK,44,43,10/16/2008,10/20/2008,800,lv
FL,PPP,48,47,10/16/2008,10/19/2008,1158,lv
NJ,Quinnipiac,59,36,10/16/2008,10/19/2008,1184,lv
US,Pew Research,53,39,10/16/2008,10/19/2008,2382,lv
AZ,Zimmerman,42,44,10/16/2008,10/19/2008,408,lv
ME,Critical Insights,56,35,10/16/2008,10/19/2008,443,lv
US,Reuters/C-SPAN/Zogby,48,45,10/16/2008,10/18/2008,1211,lv
US,Gallup,51,44,10/16/2008,10/18/2008,2277,lv
US,Gallup,49,46,10/16/2008,10/18/2008,2590,lv
US,Rasmussen,51,45,10/16/2008,10/18/2008,3000,lv
IL,Chicago Tribune,56,32,10/16/2008,10/18/2008,500,lv
MN,SurveyUSA,50,44,10/16/2008,10/18/2008,655,lv
PA,Susquehanna,48,40,10/16/2008,10/18/2008,700,lv
US,Diageo/Hotline,48,41,10/16/2008,10/18/2008,785,lv
MN,Star Tribune,52,41,10/16/2008,10/17/2008,1049,lv
WV,PPP,42,50,10/16/2008,10/17/2008,1223,lv
OH,NBC/Mason-Dixon,45,46,10/16/2008,10/17/2008,625,lv
WI,NBC/Mason-Dixon,51,39,10/16/2008,10/17/2008,625,lv
WV,NBC/Mason-Dixon,41,47,10/16/2008,10/17/2008,625,lv
TN,Rasmussen,42,54,10/16/2008,10/16/2008,500,lv
FL,SurveyUSA,47,49,10/16/2008,10/16/2008,553,lv
CO,Rasmussen,52,45,10/16/2008,10/16/2008,700,lv
NV,Rasmussen,50,45,10/16/2008,10/16/2008,700,lv
VA,Rasmussen,54,44,10/16/2008,10/16/2008,700,lv
MN,National Journal/FD,50,40,10/16/2008,10/20/2008,402,rv
WI,National Journal/FD,53,40,10/16/2008,10/20/2008,405,rv
PA,National Journal/FD,51,41,10/16/2008,10/20/2008,412,rv
WA,Elway Poll,55,36,10/16/2008,10/19/2008,405,rv
FL,Quinnipiac,42,42,10/17/2007,10/22/2007,1025,rv
AK,Ivan Moore Res.,42,53,10/17/2008,10/19/2008,500,lv
NH,Concord Monitor,50,43,10/17/2008,10/19/2008,600,lv
MO,Suffolk,44,45,10/17/2008,10/19/2008,600,lv
OH,Suffolk,51,42,10/17/2008,10/19/2008,600,lv
US,CNN/Opinion Research,49,43,10/17/2008,10/19/2008,764,lv
US,CNN/Opinion Research,51,46,10/17/2008,10/19/2008,764,lv
US,NBC News/Wall St. Jrnl,50,39,10/17/2008,10/20/2008,1159,rv
US,NBC News/Wall St. Jrnl,52,42,10/17/2008,10/20/2008,1159,rv
CA,Field,55,33,10/18/2008,10/28/2008,966,lv
US,IBD/TIPP,45,44,10/18/2008,10/22/2008,1060,lv
CT,Hartford Courant,56,31,10/18/2008,10/22/2008,502,lv
NH,Boston Globe/UNH,54,39,10/18/2008,10/22/2008,725,lv
OH,Ohio Newspaper Poll,49,46,10/18/2008,10/22/2008,886,lv
KY,SurveyUSA,41,54,10/18/2008,10/20/2008,535,lv
NC,SurveyUSA,47,47,10/18/2008,10/20/2008,627,lv
NC,PPP,51,44,10/18/2008,10/19/2008,1200,lv
IN,PPP,48,46,10/18/2008,10/19/2008,1411,lv
OK,SurveyUSA,35,59,10/18/2008,10/19/2008,561,lv
WY,SurveyUSA,37,58,10/18/2008,10/19/2008,604,lv
WI,SurveyUSA,51,43,10/18/2008,10/19/2008,641,lv
VA,SurveyUSA,51,45,10/18/2008,10/19/2008,652,lv
AZ,N. Ariz. Univ.,41,49,10/18/2008,10/27/2008,600,rv
WA,The Washington Poll,55,34,10/18/2008,10/26/2008,600,rv
NC,Civitas/TelOpinion,48,45,10/18/2008,10/20/2008,600,rv
US,LA Times/Bloomberg,44,36,10/19/2007,10/22/2007,522,rv
VA,Roanoke College,48,39,10/19/2008,10/26/2008,614,lv
PA,Morning Call,52,40,10/19/2008,10/23/2008,608,lv
US,ABC News/Wash Post,54,43,10/19/2008,10/22/2008,1335,lv
MI,Big10 Battleground,58,36,10/19/2008,10/22/2008,562,lv
OH,Big10 Battleground,53,41,10/19/2008,10/22/2008,564,lv
PA,Big10 Battleground,52,41,10/19/2008,10/22/2008,566,lv
IL,Big10 Battleground,61,32,10/19/2008,10/22/2008,572,lv
MN,Big10 Battleground,57,38,10/19/2008,10/22/2008,583,lv
WI,Big10 Battleground,53,40,10/19/2008,10/22/2008,584,lv
IN,Big10 Battleground,51,41,10/19/2008,10/22/2008,586,lv
IA,Big10 Battleground,52,39,10/19/2008,10/22/2008,586,lv
IA,Quad City-Times/R2000,54,39,10/19/2008,10/22/2008,600,lv
US,CBS News/NY Times,52,39,10/19/2008,10/22/2008,771,lv
KY,Research 2000,39,55,10/19/2008,10/21/2008,600,lv
NC,CNN/Time,51,47,10/19/2008,10/21/2008,644,lv
VA,CNN/Time,54,44,10/19/2008,10/21/2008,647,lv
WV,CNN/Time,44,53,10/19/2008,10/21/2008,674,lv
NV,CNN/Time,51,46,10/19/2008,10/21/2008,700,lv
OH,CNN/Time,50,46,10/19/2008,10/21/2008,737,lv
MI,Detroit News,51,37,10/19/2008,10/20/2008,400,lv
WI,Research 2000,52,41,10/19/2008,10/20/2008,600,lv
ME,SurveyUSA,54,39,10/19/2008,10/20/2008,642,lv
CO,FOX News/Rasmussen,51,46,10/19/2008,10/19/2008,1000,lv
FL,FOX News/Rasmussen,48,49,10/19/2008,10/19/2008,1000,lv
MO,FOX News/Rasmussen,49,44,10/19/2008,10/19/2008,1000,lv
NC,FOX News/Rasmussen,51,48,10/19/2008,10/19/2008,1000,lv
OH,FOX News/Rasmussen,47,49,10/19/2008,10/19/2008,1000,lv
NV,Politico/InAdv,47,47,10/19/2008,10/19/2008,690,lv
NC,Politico/InAdv,49,48,10/19/2008,10/19/2008,698,lv
ME,Rasmussen,51,46,10/2/2008,10/2/2008,500,lv
NV,Rasmussen,51,47,10/2/2008,10/2/2008,700,lv
WA,Rasmussen,53,43,10/2/2008,10/2/2008,700,lv
US,Ipsos/McClatchy,47,40,10/2/2008,10/6/2008,858,rv
US,GWU/Battleground,49,46,10/20/2008,10/26/2008,1000,lv
PA,Temple Univ.,50,41,10/20/2008,10/26/2008,761,lv
MO,Post-Dispatch/R2000,48,47,10/20/2008,10/23/2008,800,lv
IL,Research 2000,59,35,10/20/2008,10/23/2008,800,lv
FL,Strategic Vision,46,48,10/20/2008,10/22/2008,1200,lv
OH,Strategic Vision,45,48,10/20/2008,10/22/2008,1200,lv
PA,Strategic Vision,50,43,10/20/2008,10/22/2008,1200,lv
US,Reuters/C-SPAN/Zogby,52,40,10/20/2008,10/22/2008,1206,lv
US,Gallup,51,45,10/20/2008,10/22/2008,2349,lv
US,Gallup,50,46,10/20/2008,10/22/2008,2399,lv
US,Rasmussen,52,45,10/20/2008,10/22/2008,3000,lv
US,Diageo/Hotline,48,43,10/20/2008,10/22/2008,769,lv
FL,St. Petersburg Times,49,42,10/20/2008,10/22/2008,800,lv
GA,Strategic Vision,45,51,10/20/2008,10/22/2008,800,lv
VA,VCU,51,40,10/20/2008,10/22/2008,817,lv
NC,WSOC-TV,48,46,10/20/2008,10/21/2008,500,lv
WV,Orion Strategies,44,49,10/20/2008,10/21/2008,600,lv
FL,NBC/Mason-Dixon,45,46,10/20/2008,10/21/2008,625,lv
VA,NBC/Mason-Dixon,47,45,10/20/2008,10/21/2008,625,lv
NJ,Marist,56,39,10/20/2008,10/21/2008,628,lv
US,FOX News,49,40,10/20/2008,10/21/2008,936,lv
SC,Rasmussen,43,54,10/20/2008,10/20/2008,500,lv
WV,Rasmussen,43,52,10/20/2008,10/20/2008,500,lv
CO,InAdv/PollPosition,51,46,10/20/2008,10/20/2008,576,lv
LA,SE Louisiana,38,51,10/20/2008,10/23/2008,503,rv
MA,Suffolk/7News,53,34,10/20/2008,10/22/2008,400,rv
WI,U. of WI,52,42,10/21/2008,10/28/2008,359,lv
CO,Rocky Mtn News/CBS4,52,40,10/21/2008,10/23/2008,500,lv
OH,PPP,51,44,10/21/2008,10/23/2008,993,lv
NY,Marist,65,29,10/21/2008,10/22/2008,571,lv
AR,Research 2000,41,52,10/21/2008,10/22/2008,600,lv
TN,Research 2000,38,54,10/21/2008,10/22/2008,600,lv
KS,SurveyUSA,41,53,10/21/2008,10/22/2008,613,lv
PA,SurveyUSA,53,41,10/21/2008,10/22/2008,620,lv
IN,SurveyUSA,49,45,10/21/2008,10/22/2008,631,lv
KY,Rasmussen,44,52,10/21/2008,10/21/2008,500,lv
LA,Rasmussen,41,57,10/21/2008,10/21/2008,500,lv
TX,Rasmussen,44,54,10/21/2008,10/21/2008,500,lv
OH,Columbus Dispatch,52,46,10/22/2008,10/31/2008,2164,lv
PA,Quinnipiac,53,41,10/22/2008,10/26/2008,1364,lv
OH,Quinnipiac,51,42,10/22/2008,10/26/2008,1425,lv
FL,Quinnipiac,47,45,10/22/2008,10/26/2008,1435,lv
FL,Associated Press/GfK,45,43,10/22/2008,10/26/2008,600,lv
NH,Associated Press/GfK,55,37,10/22/2008,10/26/2008,600,lv
NC,Associated Press/GfK,48,46,10/22/2008,10/26/2008,601,lv
VA,Associated Press/GfK,49,42,10/22/2008,10/26/2008,601,lv
OH,Associated Press/GfK,48,41,10/22/2008,10/26/2008,607,lv
PA,Associated Press/GfK,52,40,10/22/2008,10/26/2008,607,lv
CO,Associated Press/GfK,50,41,10/22/2008,10/26/2008,626,lv
NV,Associated Press/GfK,52,40,10/22/2008,10/26/2008,628,lv
US,IBD/TIPP,47,44,10/22/2008,10/26/2008,824,lv
VA,Washington Post,52,44,10/22/2008,10/25/2008,784,lv
SD,Research 2000,41,50,10/22/2008,10/24/2008,600,lv
WV,Research 2000,43,49,10/22/2008,10/24/2008,600,lv
NC,NBC/Mason-Dixon,47,47,10/22/2008,10/24/2008,800,lv
GA,NBC/Mason-Dixon,43,49,10/22/2008,10/23/2008,625,lv
IA,NBC/Mason-Dixon,51,40,10/22/2008,10/23/2008,625,lv
MO,NBC/Mason-Dixon,45,46,10/22/2008,10/23/2008,625,lv
NH,Marist,50,45,10/22/2008,10/23/2008,655,lv
US,Newsweek,53,41,10/22/2008,10/23/2008,882,lv
OH,Politico/InAdv,52,42,10/22/2008,10/22/2008,408,lv
GA,Rasmussen,46,51,10/22/2008,10/22/2008,500,lv
MN,Rasmussen,56,41,10/22/2008,10/22/2008,500,lv
WA,Rasmussen,54,43,10/22/2008,10/22/2008,500,lv
FL,Politico/InAdv,48,47,10/22/2008,10/22/2008,562,lv
US,Quinnipiac,43,43,10/23/2007,10/29/2007,1636,rv
NJ,Fairleigh Dickinson,53,35,10/23/2008,10/29/2008,852,lv
NC,CNN/Time,52,46,10/23/2008,10/28/2008,667,lv
NV,CNN/Time,52,45,10/23/2008,10/28/2008,684,lv
GA,CNN/Time,47,52,10/23/2008,10/28/2008,690,lv
FL,CNN/Time,51,47,10/23/2008,10/28/2008,747,lv
PA,CNN/Time,55,43,10/23/2008,10/28/2008,768,lv
CO,CNN/Time,53,45,10/23/2008,10/28/2008,774,lv
MO,CNN/Time,48,50,10/23/2008,10/28/2008,774,lv
VA,CNN/Time,53,44,10/23/2008,10/28/2008,774,lv
OH,CNN/Time,51,47,10/23/2008,10/28/2008,779,lv
AZ,CNN/Time,46,53,10/23/2008,10/28/2008,807,lv
US,Ipsos/McClatchy,50,45,10/23/2008,10/27/2008,831,lv
US,Pew Research,53,38,10/23/2008,10/26/2008,1198,lv
US,ABC News/Wash Post,52,45,10/23/2008,10/26/2008,1314,lv
OH,Reuters/Zogby,50,45,10/23/2008,10/26/2008,600,lv
WV,Reuters/Zogby,40,50,10/23/2008,10/26/2008,600,lv
VA,Reuters/Zogby,52,45,10/23/2008,10/26/2008,600,lv
FL,Suffolk,49,44,10/23/2008,10/26/2008,600,lv
IN,Reuters/Zogby,44,50,10/23/2008,10/26/2008,601,lv
MO,Reuters/Zogby,48,46,10/23/2008,10/26/2008,601,lv
NV,Reuters/Zogby,48,44,10/23/2008,10/26/2008,601,lv
NC,Reuters/Zogby,50,46,10/23/2008,10/26/2008,601,lv
FL,Reuters/Zogby,47,47,10/23/2008,10/26/2008,603,lv
IN,Research 2000,48,47,10/23/2008,10/25/2008,600,lv
UT,Mason-Dixon,32,55,10/23/2008,10/25/2008,625,lv
MT,NBC/Mason-Dixon,44,48,10/23/2008,10/25/2008,625,lv
NH,NBC/Mason-Dixon,50,39,10/23/2008,10/25/2008,625,lv
IN,Howey-Gauge,45,47,10/23/2008,10/24/2008,600,lv
IA,Marist,52,42,10/23/2008,10/24/2008,645,lv
WI,Rasmussen,51,44,10/23/2008,10/23/2008,500,lv
GA,InAdv/PollPosition,48,47,10/23/2008,10/23/2008,615,lv
IA,Rasmussen,52,44,10/23/2008,10/23/2008,700,lv
NH,Rasmussen,50,46,10/23/2008,10/23/2008,700,lv
NC,Rasmussen,48,50,10/23/2008,10/23/2008,700,lv
FL,National Journal/FD,48,44,10/23/2008,10/27/2008,402,rv
NC,National Journal/FD,47,43,10/23/2008,10/27/2008,402,rv
OH,National Journal/FD,48,41,10/23/2008,10/27/2008,404,rv
VA,National Journal/FD,48,44,10/23/2008,10/27/2008,404,rv
CO,National Journal/FD,48,44,10/23/2008,10/27/2008,409,rv
AZ,Arizona State,44,46,10/23/2008,10/26/2008,1019,rv
MN,Minn. Pub. Radio,56,37,10/24/2008,10/28/2008,451,lv
IN,Research 2000,47,47,10/24/2008,10/28/2008,800,lv
US,Reuters/C-SPAN/Zogby,50,45,10/24/2008,10/26/2008,1203,lv
US,Gallup,53,43,10/24/2008,10/26/2008,2343,lv
US,Gallup,50,45,10/24/2008,10/26/2008,2446,lv
US,Rasmussen,51,46,10/24/2008,10/26/2008,3000,lv
VT,Research 2000,57,36,10/24/2008,10/26/2008,400,lv
OH,Marist,48,45,10/24/2008,10/26/2008,661,lv
NJ,Strategic Vision,53,38,10/24/2008,10/26/2008,800,lv
WI,Strategic Vision,50,41,10/24/2008,10/26/2008,800,lv
US,Diageo/Hotline,50,42,10/24/2008,10/26/2008,879,lv
UT,Deseret News,32,57,10/24/2008,10/30/2008,1205,rv
US,CBS News/NY Times,52,39,10/25/2008,10/29/2008,1005,lv
US,CBS News/NY Times,52,41,10/25/2008,10/29/2008,1005,lv
SC,NBC/PSRA,42,53,10/25/2008,10/28/2008,400,lv
NV,Reno Gazette-Journal,50,45,10/25/2008,10/28/2008,600,lv
FL,LA Times/Bloomberg,50,43,10/25/2008,10/27/2008,639,lv
OH,LA Times/Bloomberg,49,40,10/25/2008,10/27/2008,644,lv
NH,WMUR/UNH,58,33,10/25/2008,10/27/2008,652,lv
NC,PPP,49,48,10/25/2008,10/26/2008,1038,lv
VA,SurveyUSA,52,43,10/25/2008,10/26/2008,671,lv
MO,SurveyUSA,48,48,10/25/2008,10/26/2008,672,lv
OR,SurveyUSA,57,38,10/25/2008,10/26/2008,672,lv
WA,Strategic Vision,54,42,10/25/2008,10/26/2008,800,lv
CA,Rasmussen,61,34,10/25/2008,10/25/2008,500,lv
MI,Mitchell Research,54,40,10/26/2008,10/30/2008,600,lv
MI,Detroit News,50,38,10/26/2008,10/28/2008,600,lv
NJ,Research 2000,54,38,10/26/2008,10/28/2008,600,lv
IN,Indy Star/Selzer,46,45,10/26/2008,10/28/2008,606,lv
WA,SurveyUSA,56,39,10/26/2008,10/27/2008,630,lv
OH,SurveyUSA,49,45,10/26/2008,10/27/2008,648,lv
VA,Marist,51,47,10/26/2008,10/27/2008,671,lv
PA,Marist,55,41,10/26/2008,10/27/2008,713,lv
CO,FOX News/Rasmussen,50,46,10/26/2008,10/26/2008,1000,lv
FL,FOX News/Rasmussen,51,47,10/26/2008,10/26/2008,1000,lv
MO,FOX News/Rasmussen,48,47,10/26/2008,10/26/2008,1000,lv
NC,FOX News/Rasmussen,48,49,10/26/2008,10/26/2008,1000,lv
OH,FOX News/Rasmussen,49,45,10/26/2008,10/26/2008,1000,lv
VA,FOX News/Rasmussen,51,47,10/26/2008,10/26/2008,1000,lv
NV,Suffolk,50,40,10/26/2008,10/26/2008,450,lv
AZ,Rasmussen,46,51,10/26/2008,10/26/2008,500,lv
PA,InAdv/PollPosition,51,42,10/26/2008,10/26/2008,588,lv
CO,Politico/InAdv,53,45,10/26/2008,10/26/2008,636,lv
PA,Quinnipiac,52,42,10/27/2008,11/2/2008,1493,lv
OH,Quinnipiac,50,43,10/27/2008,11/2/2008,1574,lv
FL,Quinnipiac,47,45,10/27/2008,11/2/2008,1773,lv
IN,Downs Center,47,47,10/27/2008,10/30/2008,900,lv
MI,Strategic Vision,54,41,10/27/2008,10/29/2008,1200,lv
PA,Strategic Vision,49,44,10/27/2008,10/29/2008,1200,lv
OR,Research 2000,55,39,10/27/2008,10/29/2008,500,lv
NC,Civitas/TelOpinion,47,46,10/27/2008,10/29/2008,600,lv
KY,Research 2000,39,56,10/27/2008,10/29/2008,600,lv
IA,Research 2000,53,39,10/27/2008,10/29/2008,600,lv
MN,Research 2000,53,38,10/27/2008,10/29/2008,600,lv
MS,Research 2000,40,53,10/27/2008,10/29/2008,600,lv
NH,Suffolk,53,40,10/27/2008,10/29/2008,600,lv
NH,Strategic Vision,50,41,10/27/2008,10/29/2008,800,lv
KY,Mason-Dixon,42,51,10/27/2008,10/29/2008,817,lv
WI,Research 2000,53,42,10/27/2008,10/28/2008,600,lv
AZ,NBC/Mason-Dixon,44,48,10/27/2008,10/28/2008,625,lv
MN,NBC/Mason-Dixon,48,40,10/27/2008,10/28/2008,625,lv
PA,NBC/Mason-Dixon,47,43,10/27/2008,10/28/2008,625,lv
KS,SurveyUSA,37,58,10/27/2008,10/28/2008,626,lv
DE,SurveyUSA,63,33,10/27/2008,10/28/2008,657,lv
MA,SurveyUSA,56,39,10/27/2008,10/28/2008,658,lv
CO,Marist,51,45,10/27/2008,10/28/2008,682,lv
AR,Rasmussen,44,54,10/27/2008,10/27/2008,500,lv
MS,Rasmussen,45,53,10/27/2008,10/27/2008,500,lv
PA,Rasmussen,53,46,10/27/2008,10/27/2008,500,lv
GA,InAdv/PollPosition,47,48,10/27/2008,10/27/2008,637,lv
NV,Rasmussen,50,46,10/27/2008,10/27/2008,700,lv
WA,The Washington Poll,51,39,10/27/2008,10/31/2008,387,rv
AR,ARG,44,51,10/28/2008,10/31/2008,600,lv
IN,ARG,48,48,10/28/2008,10/31/2008,600,lv
MI,Detroit Free Press,53,37,10/28/2008,10/31/2008,616,lv
IA,Des Moines Register,54,37,10/28/2008,10/31/2008,814,lv
MN,PPP,57,41,10/28/2008,10/30/2008,1050,lv
OR,PPP,57,42,10/28/2008,10/30/2008,1424,lv
MI,PPP,55,42,10/28/2008,10/30/2008,1532,lv
NM,PPP,58,41,10/28/2008,10/30/2008,1537,lv
CO,PPP,54,44,10/28/2008,10/30/2008,2023,lv
AZ,ARG,46,50,10/28/2008,10/30/2008,600,lv
CO,ARG,52,45,10/28/2008,10/30/2008,600,lv
